写卡成功! 	123456781234567812345678 	京555555 	11-04-23,20:48 	11-04-24,04:49 	48 
任务已完成 	123456781234567812345678 	京555555 	11-04-23,20:48 	 	48 
数据库同步失败！（错误1012） 	123456781234567812345678 	 	 	 	0 
写卡成功! 	123456781234567812345678 	京333333 	11-04-23,20:52 	11-04-24,04:52 	48 
任务已完成 	123456781234567812345678 	京333333 	11-04-23,20:52 	 	48 
写卡成功! 	123456781234567812345678 	京222222 	11-04-23,20:53 	11-04-24,04:58 	48 
任务已完成 	123456781234567812345678 	京222222 	11-04-23,20:53 	 	48 
写卡成功! 	3005FB63ABEEAFC1EC88851A 	京222222 	11-04-23,21:03 	11-04-24,05:14 	48 
任务已完成 	3005FB63ABEEAFC1EC88851A 	京222222 	11-04-23,21:03 	 	48 
数据库同步失败！（错误1012） 	123456781234567812345678 	京333333 	11-04-24,05:12 	11-04-24,05:14 	48 
任务已完成 	123456781234567812345678 	京333333 	11-04-24,05:12 	 	48 
