写卡成功! 	123456781234567812345678 	京AD1234 	11-05-02,11:48 	11-05-02,13:14 	31 
数据库同步失败！（错误1012） 	123456781234567812345678 	京AD1234 	11-05-02,13:14 	11-05-02,13:14 	31 
任务已完成 	123456781234567812345678 	京AD1234 	11-05-02,13:14 	 	31 
写卡成功! 	123456781234567812345678 	京AD1234 	11-05-02,13:17 	11-05-02,13:17 	31 
写卡成功! 	123456781234567812345678 	京AD1234 	11-05-02,13:19 	11-05-02,13:19 	31 
任务已完成 	123456781234567812345678 	京AD1234 	11-05-02,13:19 	 	31 
数据库同步失败！（错误1012） 	123456781234567812345678 	京AD1234 	11-05-02,13:21 	11-05-02,13:21 	31 
写卡失败 	123456781234567812345678 	京AD1234 	11-05-02,13:22 	11-05-02,13:22 	31 
数据库同步失败！（错误1012） 	123456781234567812345678 	京AD1234 	11-05-02,13:22 	11-05-02,13:22 	31 
任务已完成 	123456781234567812345678 	京AD1234 	11-05-02,13:22 	 	31 
数据库同步失败！（错误1012） 	123456781234567812345678 	京AD1234 	11-05-02,13:23 	11-05-02,13:23 	31 
任务已完成 	123456781234567812345678 	京AD1234 	11-05-02,13:23 	 	31 
数据库同步失败！（错误1012） 	123456781234567812345678 	京AD1234 	11-05-02,13:24 	11-05-02,13:24 	31 
任务已完成 	123456781234567812345678 	京AD1234 	11-05-02,13:24 	 	31 
远程垃圾站六部口网络可能出错,本条记录会添加到数据库中,但请检查垃圾站的网络是否正常！ 	123456781234567812345678 	京AD1234 	11-05-02,13:26 	11-05-02,13:26 	31 
远程垃圾站六部口网络可能出错,本条记录会添加到数据库中,但请检查垃圾站的网络是否正常！ 	123456781234567812345678 	京AD1234 	11-05-02,13:28 	11-05-02,13:28 	31 
任务已完成 	123456781234567812345678 	京AD1234 	11-05-02,13:28 	 	31 
任务已完成 	123456781234567812345678 	京AD1234 	11-05-02,13:28 	 	31 
垃圾站:六部口 网络出错！ 	123456781234567812345678 	京AD1234 	11-05-02,13:36 	11-05-02,13:36 	31 
任务已完成 	123456781234567812345678 	京AD1234 	11-05-02,13:36 	 	31 
